id,Stad,Property type,Region,Subtype,Price,Type of sale,Construction year,Bedroom Count,Habitable surface,Kitchen type,Furnished,Fireplace,Terrace,Garden,Garden surface,Facades,SwimmingPool,Condition,EPC score
10611395,GLIMES,0,WALLONIE,HOUSE,500000,residential_sale,1900,3,200,SEMI_EQUIPPED,0,1,0,1,4146,3,0,TO_RENOVATE,E
10585326,Grez-Doiceau ( Nethen),0,WALLONIE,HOUSE,490000,residential_sale,1900,4,160,USA_INSTALLED,0,0,1,0,580,4,0,GOOD,D
10611850,COURT-SAINT-ETIENNE,0,WALLONIE,HOUSE,515000,residential_sale,1990,4,148,INSTALLED,0,1,1,1,2178,4,0,TO_BE_DONE_UP,F
10476633,Waterloo,0,WALLONIE,HOUSE,495000,residential_sale,1930,3,0,NOT_INSTALLED,0,1,0,1,455,3,0,TO_RENOVATE,G
10243931,Grez-Doiceau (Hèze),0,WALLONIE,VILLA,525000,residential_sale,1975,3,200,USA_INSTALLED,0,0,1,0,2060,4,0,TO_BE_DONE_UP,E
10623811,Halle,0,FLANDERS,HOUSE,525000,residential_sale,1994,4,187,0,0,1,0,1,686,4,0,AS_NEW,B
10613477,Uccle,0,BRUSSELS,HOUSE,530000,residential_sale,1960,4,164,INSTALLED,0,0,1,1,285,3,0,TO_RENOVATE,G
10663275,Gent,URBAN,FLANDERS,HOUSE,319000,residential_sale,1874,4,145,INSTALLED,0,0,0,1,73,0,0,JUST_RENOVATED,D
10631440,HABAY-LA-NEUVE,0,WALLONIE,HOUSE,525000,residential_sale,0,3,157,INSTALLED,0,1,0,1,1025,4,0,GOOD,D
10647577,FRASNES-LEZ - BUISSENAL,0,WALLONIE,HOUSE,525000,residential_sale,0,3,320,INSTALLED,0,1,0,0,208,2,0,GOOD,B
10663277,Schoten,0,FLANDERS,APARTMENT,230000,residential_sale,1974,3,101,INSTALLED,0,0,1,0,0,0,0,GOOD,B
10663279,Gent,0,FLANDERS,APARTMENT,260000,residential_sale,1947,2,108,INSTALLED,0,0,1,0,0,0,0,TO_BE_DONE_UP,E
10663276,Deurne,0,FLANDERS,APARTMENT,245000,residential_sale,1938,2,77,INSTALLED,0,0,1,0,0,0,0,AS_NEW,B
10177703,Nieuwpoort,0,FLANDERS,APARTMENT,349000,residential_sale,1998,2,70,0,0,0,1,0,0,0,0,0,C
10663273,Hooglede,0,FLANDERS,HOUSE,212000,residential_sale,0,3,0,0,0,0,0,1,0,0,0,0,D
10663269,Brasschaat,0,FLANDERS,APARTMENT,520000,residential_sale,0,3,136,HYPER_EQUIPPED,0,0,1,0,0,0,0,AS_NEW,0
10663261,Beersel,URBAN,FLANDERS,HOUSE,399000,residential_sale,1957,3,280,INSTALLED,0,1,1,0,330,3,0,GOOD,C
10663274,Knokke,URBAN,FLANDERS,APARTMENT,540000,residential_sale,1991,2,86,INSTALLED,0,0,1,0,0,2,0,TO_RENOVATE,A
10663258,Diksmuide,0,FLANDERS,HOUSE,469000,residential_sale,2022,3,200,0,0,0,0,0,204,3,0,GOOD,0
10663257,Diksmuide,0,FLANDERS,HOUSE,469000,residential_sale,2023,3,200,0,0,0,0,0,243,3,0,GOOD,0
10663256,Houthalen,0,FLANDERS,GROUND_FLOOR,315000,residential_sale,2018,2,123,0,0,0,1,0,0,3,0,GOOD,A
10663248,Turnhout,0,FLANDERS,APARTMENT,159000,residential_sale,1977,3,113,SEMI_EQUIPPED,0,1,1,0,0,2,0,TO_RENOVATE,B
10663250,Vosselaar,RESIDENTIAL,FLANDERS,HOUSE,409000,residential_sale,2011,3,174,INSTALLED,0,1,1,1,266,2,0,AS_NEW,B
10663254,Diksmuide,0,FLANDERS,HOUSE,175000,residential_sale,1930,2,165,0,0,0,0,0,402,2,0,TO_RENOVATE,F
10663246,Roeselare,URBAN,FLANDERS,HOUSE,295000,residential_sale,2023,3,128,HYPER_EQUIPPED,0,0,1,1,89,2,0,AS_NEW,0
10663249,Gierle,RESIDENTIAL,FLANDERS,HOUSE,384000,residential_sale,1975,3,144,INSTALLED,0,1,1,1,1705,4,1,TO_BE_DONE_UP,F
10663244,Belsele,0,FLANDERS,HOUSE,547000,residential_sale,2024,4,205,INSTALLED,0,0,0,1,491,0,0,0,0
10663243,Sint-Niklaas,0,FLANDERS,HOUSE,552000,residential_sale,2024,4,217,INSTALLED,0,0,0,1,359,0,0,0,0
10663245,Belsele,0,FLANDERS,HOUSE,495000,residential_sale,2024,4,205,INSTALLED,0,0,0,1,300,0,0,0,0
10663236,Molenbeek-Saint-Jean,RESIDENTIAL,BRUSSELS,HOUSE,480000,residential_sale,1960,4,0,NOT_INSTALLED,0,0,0,0,171,0,0,0,0
10663242,Sint-Niklaas,0,FLANDERS,HOUSE,525000,residential_sale,2024,4,204,INSTALLED,0,0,0,1,352,0,0,0,0
10663209,Aalst,0,FLANDERS,APARTMENT,214000,residential_sale,0,3,111,INSTALLED,0,0,0,0,0,0,0,AS_NEW,C
10663211,Aalst,0,FLANDERS,APARTMENT,217000,residential_sale,0,1,0,0,0,0,0,0,0,0,0,JUST_RENOVATED,C
10663207,Aalst,URBAN,FLANDERS,HOUSE,335000,residential_sale,0,4,156,HYPER_EQUIPPED,0,0,0,1,140,0,0,0,B
10621996,Zandvoorde,0,FLANDERS,APARTMENT,99900,residential_sale,1969,1,0,0,0,0,0,0,0,0,0,0,0
10516282,Woluwe-Saint-Lambert,0,BRUSSELS,HOUSE,530000,residential_sale,1933,4,215,NOT_INSTALLED,0,0,1,1,102,2,0,TO_RENOVATE,G
10663172,Essen,0,FLANDERS,HOUSE,479000,residential_sale,1980,5,235,0,0,0,0,1,300,0,0,AS_NEW,C
10566963,Ternat,RESIDENTIAL,FLANDERS,VILLA,539200,residential_sale,0,3,176,INSTALLED,0,1,1,1,604,4,0,AS_NEW,D
10363965,Schaerbeek,URBAN,BRUSSELS,MANSION,545000,residential_sale,0,6,173,INSTALLED,0,0,0,0,90,2,0,TO_BE_DONE_UP,G
10663150,Lier,0,FLANDERS,APARTMENT_GROUP,0,group_sale,0,0,0,0,0,0,0,0,0,0,0,0,0
10613617,Woluwe-Saint-Pierre,0,BRUSSELS,HOUSE,545000,residential_sale,1921,2,90,USA_HYPER_EQUIPPED,1,0,1,0,100,2,0,AS_NEW,D
10663241,Sint-Gillis-Waas,0,FLANDERS,HOUSE,399000,residential_sale,1984,3,330,0,0,1,1,1,370,0,0,TO_BE_DONE_UP,C
10663272,Nieuwpoort,0,FLANDERS,FLAT_STUDIO,245000,residential_sale,1988,1,31,INSTALLED,1,0,0,0,0,2,0,AS_NEW,C
10520360,Overijse,0,FLANDERS,HOUSE,545000,residential_sale,1939,4,206,INSTALLED,0,0,1,1,3504,4,0,GOOD,F
10346514,Bruxelles,0,BRUSSELS,HOUSE,550000,residential_sale,1945,2,82,USA_HYPER_EQUIPPED,0,0,1,0,83,2,0,AS_NEW,D
10517571,Huy,0,WALLONIE,APARTMENT_BLOCK,550000,residential_sale,0,7,320,INSTALLED,0,1,0,0,0,2,0,GOOD,C
10602692,Soumagne,0,WALLONIE,HOUSE,550000,residential_sale,2022,3,195,INSTALLED,0,1,1,1,1019,4,0,0,B
10582870,Ottignies,0,WALLONIE,VILLA,565000,residential_sale,1958,4,176,SEMI_EQUIPPED,0,1,0,1,1116,4,0,TO_RENOVATE,D
10612151,MARBAIS,0,WALLONIE,VILLA,550000,residential_sale,0,5,216,USA_HYPER_EQUIPPED,0,1,0,1,1708,3,0,GOOD,E
